State,County,FIPS,Opiod_Dispensing_Rate
AL,Autauga County,1001,101.3
AL,Baldwin County,1003,67.6
AL,Barbour County,1005,27.2
AL,Bibb County,1007,21
AL,Blount County,1009,23.7
AL,Bullock County,1011,24.7
AL,Butler County,1013,40.6
AL,Calhoun County,1015,106.3
AL,Chambers County,1017,58
AL,Cherokee County,1019,46.5
AL,Chilton County,1021,41.2
AL,Choctaw County,1023,37.5
AL,Clarke County,1025,66.3
AL,Clay County,1027,84.5
AL,Cleburne County,1029,14.5
AL,Coffee County,1031,79.8
AL,Colbert County,1033,156.9
AL,Conecuh County,1035,110.5
AL,Coosa County,1037,0
AL,Covington County,1039,94.2
AL,Crenshaw County,1041,33.1
AL,Cullman County,1043,87.1
AL,Dale County,1045,34
AL,Dallas County,1047,65
AL,DeKalb County,1049,62.6
AL,Elmore County,1051,28.1
AL,Escambia County,1053,76.6
AL,Etowah County,1055,102.8
AL,Fayette County,1057,48.5
AL,Franklin County,1059,92.3
AL,Geneva County,1061,15.1
AL,Greene County,1063,25.2
AL,Hale County,1065,22.2
AL,Henry County,1067,52.3
AL,Houston County,1069,146.1
AL,Jackson County,1071,82.3
AL,Jefferson County,1073,143.5
AL,Lamar County,1075,13.8
AL,Lauderdale County,1077,58.5
AL,Lawrence County,1079,30.4
AL,Lee County,1081,39.5
AL,Limestone County,1083,33.1
AL,Lowndes County,1085,9.2
AL,Macon County,1087,10.6
AL,Madison County,1089,97.8
AL,Marengo County,1091,72.3
AL,Marion County,1093,108.7
AL,Marshall County,1095,97.2
AL,Mobile County,1097,108.4
AL,Monroe County,1099,48.9
AL,Montgomery County,1101,93.2
AL,Morgan County,1103,69.2
AL,Perry County,1105,15.3
AL,Pickens County,1107,33.6
AL,Pike County,1109,36.6
AL,Randolph County,1111,56.1
AL,Russell County,1113,34.6
AL,St. Clair County,1115,61.9
AL,Shelby County,1117,76.9
AL,Sumter County,1119,38
AL,Talladega County,1121,41.3
AL,Tallapoosa County,1123,47
AL,Tuscaloosa County,1125,96.5
AL,Walker County,1127,132.7
AL,Washington County,1129,28.1
AL,Wilcox County,1131,26.5
AL,Winston County,1133,66.8
AK,Aleutians East Borough,2013,10.6
AK,Aleutians West Census Area,2016,2.5
AK,Anchorage Municipality,2020,56
AK,Bethel Census Area,2050,6.9
AK,Bristol Bay Borough,2060,4.1
AK,Denali Borough,2068,8.3
AK,Dillingham Census Area,2070,4.9
AK,Fairbanks North Star Borough,2090,29.5
AK,Haines Borough,2100,1.2
AK,Hoonah-Angoon Census Area,2105,5.3
AK,Juneau City and Borough,2110,36.2
AK,Kenai Peninsula Borough,2122,53
AK,Ketchikan Gateway Borough,2130,50.4
AK,Kodiak Island Borough,2150,18.3
AK,Lake and Peninsula Borough,2164,0.3
AK,Matanuska-Susitna Borough,2170,30.7
AK,Nome Census Area,2180,2.2
AK,North Slope Borough,2185,3.1
AK,Northwest Arctic Borough,2188,2.7
AK,Petersburg Borough,2195,68.8
AK,Prince of Wales-Hyder Census Area,2198,23
AK,Sitka City and Borough,2220,16.6
AK,Skagway Municipality,2230,5.2
AK,Southeast Fairbanks Census Area,2240,12.7
AK,Valdez-Cordova Census Area,2261,18
AK,Wrangell City and Borough,2275,6.7
AK,Yakutat City and Borough,2282,5.3
AK,Yukon-Koyukuk Census Area,2290,1.2
AZ,Apache County,4001,7.3
AZ,Cochise County,4003,37.9
AZ,Coconino County,4005,34.9
AZ,Gila County,4007,46.4
AZ,Graham County,4009,44
AZ,Greenlee County,4011,2.5
AZ,La Paz County,4012,18.7
AZ,Maricopa County,4013,46.5
AZ,Mohave County,4015,70.6
AZ,Navajo County,4017,47.1
AZ,Pima County,4019,52.3
AZ,Pinal County,4021,11.5
AZ,Santa Cruz County,4023,8.4
AZ,Yavapai County,4025,49.4
AZ,Yuma County,4027,24.6
AR,Arkansas County,5001,74.7
AR,Ashley County,5003,28.3
AR,Baxter County,5005,126.7
AR,Benton County,5007,44.3
AR,Boone County,5009,73.9
AR,Bradley County,5011,80.7
AR,Calhoun County,5013,16.2
AR,Carroll County,5015,37.2
AR,Chicot County,5017,93.4
AR,Clark County,5019,56.8
AR,Clay County,5021,76.3
AR,Cleburne County,5023,50.6
AR,Cleveland County,5025,2.5
AR,Columbia County,5027,52.2
AR,Conway County,5029,38
AR,Craighead County,5031,167.8
AR,Crawford County,5033,55.1
AR,Crittenden County,5035,69
AR,Cross County,5037,60.3
AR,Dallas County,5039,40.2
AR,Desha County,5041,94.1
AR,Drew County,5043,93.5
AR,Faulkner County,5045,63.2
AR,Franklin County,5047,42.7
