,County,County Code,Population,Deaths,Norm_Deaths
0,"Abbeville County, SC",45001,535389,38,7.1
1,"Acadia Parish, LA",22001,1279727,237,18.5
2,"Accomack County, VA",51001,726189,73,10.1
3,"Ada County, ID",16001,8083452,988,12.2
4,"Adair County, KY",21001,387950,43,11.1
5,"Adair County, MO",29001,530448,30,5.7
6,"Adair County, OK",40001,460866,55,11.9
7,"Adams County, CO",8001,9146345,1537,16.8
8,"Adams County, IL",17001,1408061,122,8.7
9,"Adams County, IN",18001,721740,45,6.2
10,"Adams County, MS",28001,682293,43,6.3
11,"Adams County, NE",31001,655585,22,3.4
12,"Adams County, OH",39001,590060,140,23.7
13,"Adams County, PA",42001,2082512,208,10.0
14,"Adams County, WA",53001,378908,13,3.4
15,"Adams County, WI",55001,428761,64,14.9
16,"Addison County, VT",50001,769683,57,7.4
17,"Aiken County, SC",45003,3295571,555,16.8
18,"Aitkin County, MN",27001,333490,41,12.3
19,"Alachua County, FL",12001,5131867,536,10.4
20,"Alamance County, NC",37001,3109711,411,13.2
21,"Alameda County, CA",6001,32091689,3387,10.6
22,"Alamosa County, CO",8003,328752,42,12.8
23,"Albany County, NY",36001,6374950,564,8.8
24,"Albany County, WY",56001,745525,65,8.7
25,"Albemarle County, VA",51003,2029413,95,4.7
26,"Alcona County, MI",26001,231511,10,4.3
27,"Alcorn County, MS",28003,762952,82,10.7
28,"Aleutians West Census Area, AK",2016,117650,12,10.2
29,"Alexander County, NC",37003,760950,121,15.9
30,"Alexandria city, VA",51510,2948529,231,7.8
31,"Alfalfa County, OK",40003,121500,12,9.9
32,"Alger County, MI",26003,200404,17,8.5
33,"Allegan County, MI",26005,2344504,235,10.0
34,"Allegany County, MD",24001,1547506,325,21.0
35,"Allegany County, NY",36003,1022725,56,5.5
36,"Alleghany County, NC",37005,229301,25,10.9
37,"Alleghany County, VA",51005,332338,26,7.8
38,"Allegheny County, PA",42003,25995296,6141,23.6
39,"Allen County, IN",18003,7426537,906,12.2
40,"Allen County, KS",20001,281536,22,7.8
41,"Allen County, KY",21003,411770,54,13.1
42,"Allen County, OH",39003,2225818,244,11.0
43,"Allen Parish, LA",22003,537014,51,9.5
44,"Alpena County, MI",26007,626109,72,11.5
45,"Amador County, CA",6005,786775,156,19.8
46,"Amelia County, VA",51007,259459,15,5.8
47,"Amherst County, VA",51009,671669,41,6.1
48,"Amite County, MS",28005,274496,12,4.4
